Distance,Speed,nGear,X,Y,Driver
2029.90611111111,120.0,5,-4072.744711712095,-4387.097891005505,LEC
2030.2848740846332,119.4,5,-4076.0,-4388.0,LEC
2037.9303113790354,106.4,5,-4136.0,-4418.0,LEC
2038.1505555555545,106.0,2,-4137.853084037699,-4419.777911771118,LEC
2044.1717614156498,98.26666666666667,2,-4191.0,-4489.0,LEC
2050.1505555555545,90.0,2,-4221.9563432593095,-4543.225064015813,LEC
2053.9283333333324,85.0,2,-4235.307814874638,-4568.163763560346,LEC
2055.5735056500844,83.56,2,-4243.0,-4579.0,LEC
2058.4283333333324,81.0,2,-4259.25239158028,-4597.653408657593,LEC
2060.478222575666,79.8375008,2,-4273.0,-4610.0,LEC
2063.628333333332,78.0,2,-4297.808759632922,-4626.4573680493395,LEC
2065.1193690617415,75.81000192,2,-4311.0,-4633.0,LEC
2067.628333333332,72.0,2,-4334.792710971479,-4641.564526966023,LEC
2072.52550072816,70.4187504,2,-4384.0,-4650.0,LEC
2073.8505555555544,70.0,2,-4397.311524473393,-4650.941337720405,LEC
2074.0902929570793,70.2,2,-4400.0,-4651.0,LEC
2078.7838888888878,74.0,2,-4471.720903251968,-4645.172372182436,LEC
2080.751441160544,76.3,2,-4496.0,-4642.0,LEC
2083.1727777777764,79.0,2,-4513.893654551143,-4639.002324641081,LEC
2088.4792529084298,86.3218728,2,-4537.0,-4633.0,LEC
2091.1727777777764,90.0,2,-4559.079134792451,-4628.088416493025,LEC
2095.1727777777764,90.0,2,-4603.214073818981,-4617.119407037454,LEC
2096.076287083767,92.22749568,2,-4613.0,-4614.0,LEC
2096.641369895627,93.57749568,2,-4619.0,-4612.0,LEC
2105.069558276582,111.12749568,2,-4696.0,-4601.0,LEC
2108.1727777777764,117.0,2,-4734.600392680795,-4601.435483691427,LEC
2117.803129769198,131.54749632,2,-4856.0,-4609.0,LEC
2123.728333333332,140.0,3,-4886.761675041641,-4613.806924946266,LEC
2126.744867366217,145.0187456,3,-4905.0,-4617.0,LEC
2130.4394444444433,151.0,3,-4937.553645455299,-4621.944576827428,LEC
2136.3663835667294,159.312496,3,-5000.0,-4631.0,LEC
2137.594999999999,161.0,3,-5012.532567791173,-4632.87921732504,LEC
2147.4577213574507,166.9625,3,-5110.0,-4648.0,LEC
2152.70611111111,170.0,4,-5161.602521810933,-4655.922721905205,LEC
2158.3961016017834,175.3361080888889,4,-5217.0,-4664.0,LEC
2168.8912690692764,184.78055253333332,4,-5317.0,-4677.0,LEC
2171.40611111111,187.0,4,-5340.474655762449,-4679.95946369545,LEC
2178.6045903921317,193.6499968,4,-5413.0,-4689.0,LEC
2180.072777777777,195.0,4,-5430.78623545115,-4691.190919782371,LEC
2193.272777777777,198.0,5,-5610.7620519997845,-4713.121893796952,LEC
2193.952139329905,198.55516026879096,5,-5618.0,-4714.0,LEC
2209.7424999999994,211.0,5,-5719.505792799546,-4726.126010784445,LEC
2217.729718819226,215.3666688,5,-5792.0,-4734.0,LEC
2232.0424999999996,223.0,5,-6001.131992614972,-4756.071144055152,LEC
2235.2707258763735,224.2750016,5,-6039.0,-4760.0,LEC
2247.309166666666,229.0,5,-6117.556023051203,-4767.780357729717,LEC
2254.373861427525,229.6937504,5,-6158.0,-4771.0,LEC
2257.5313888888886,230.0,5,-6181.0182162717965,-4772.698394377992,LEC
2272.9409352367443,233.15717581307686,5,-6343.0,-4784.0,LEC
2283.3628039767955,235.3439636491716,5,-6507.0,-4794.0,LEC
2286.3102777777776,236.0,5,-6541.987881322057,-4794.132590715825,LEC
2304.1769444444444,201.0,5,-6609.465407254151,-4783.6022386736195,LEC
2310.121315304128,194.40833706666666,5,-6700.0,-4834.0,LEC
2314.1987291613245,189.8,5,-6794.0,-4889.0,LEC
2316.643611111111,187.0,4,-6837.721559612291,-4915.242395590995,LEC
2330.565833333333,179.0,4,-6877.949893302882,-4958.8538982473065,LEC
2334.1666026649254,179.6,4,-6891.0,-4982.0,LEC
2347.33833929447,181.76666666666668,4,-7001.0,-5131.0,LEC
2348.765833333333,182.0,4,-7010.266534001891,-5144.180115136447,LEC
2356.9880555555555,185.0,4,-7041.578123036954,-5196.106764447294,LEC
2365.143605745841,189.781248,4,-7063.0,-5242.0,LEC
2374.321388888889,195.0,5,-7096.761036316467,-5315.451940714708,LEC
2378.390974416326,197.4333312,5,-7114.0,-5363.0,LEC
2387.8547222222223,203.0,5,-7157.042107233682,-5513.879851539491,LEC
2393.1811578554716,205.62857142857143,5,-7175.0,-5584.0,LEC
2404.265833333333,211.0,5,-7187.465681762878,-5642.954160137358,LEC
2413.41220983337,214.8249984,5,-7192.0,-5683.0,LEC
2416.265833333333,216.0,5,-7195.162924727619,-5705.303130929007,LEC
